Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Flanders","Flanders","UTC","BEPR701","60R701","60R701 - GENT","SPO-BEPR701_04406_100","Chrysene","3.72930","51.05833","5.0","m","urban","background","01/01/2010 00:00:00","","SAM-BEPR701_04406","2.0","m","","","","","","","Other","","","0","","","","","Gent","","","","","","","","","","SPP-BEPR701_04406_1","01/01/2010 00:00:00","","automatic","other","","","","","","","","ref","","1","ng.m-3","","http://report.irceline.be/qa/","1","day","4","day","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Flanders","Flanders","UTC","BEPR701","60R701","60R701 - GENT","SPO-BEPR701_05029_100","BaP in PM10","3.72930","51.05833","5.0","m","urban","background","01/01/2014 00:00:00","","SAM-BEPR701_05029","2.0","m","","","","","","","Other","","","0","","","","","Gent","","","","","","","","","","SPP-BEPR701_05029_1","01/01/2014 00:00:00","","automatic","other","","","","","","","","ref","","10","ng.m-3","","http://report.irceline.be/qa/","1","day","1","variable","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Flanders","Flanders","UTC","BEPR740","60R740","60R740 - Sint-Kruis-Winkel","SPO-BEPR740_05029_100","BaP in PM10","3.80874","51.15014","5.0","m","suburban","industrial","01/01/2014 00:00:00","","SAM-BEPR740_05029","2.0","m","","","","","","","Other","","","0","","","","","Sint-Kruis-Winkel","","","","","","","","","","SPP-BEPR740_05029_1","01/01/2014 00:00:00","","automatic","other","","","","","","","","ref","","10","ng.m-3","","http://report.irceline.be/qa/","1","day","1","variable","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Flanders","Flanders","UTC","BEPR750","60R750","60R750 - ZELZATE","SPO-BEPR750_00609_100","Benzo(a)anthracene","3.82292","51.19606","6.0","m","suburban","industrial","01/01/1995 00:00:00","","SAM-BEPR750_00609","2.0","m","","","","","","","Other","","","0","","","","","Zelzate","","","","","","","","","","SPP-BEPR750_00609_1","01/01/1995 00:00:00","","automatic","other","","","","","","","","ref","","10","ng.m-3","","http://report.irceline.be/qa/","1","day","1","day","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Flanders","Flanders","UTC","BEPR750","60R750","60R750 - ZELZATE","SPO-BEPR750_00609_100","Benzo(a)anthracene","3.82292","51.19606","6.0","m","suburban","industrial","01/01/1995 00:00:00","","SAM-BEPR750_00609","2.0","m","","","","","","","Other","","","0","","","","","Zelzate","","","","","","","","","","SPP-BEPR750_00609_2","01/01/1997 00:00:00","","automatic","other","","","","","","","","ref","","1","ng.m-3","","http://report.irceline.be/qa/","1","day","1","day","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Flanders","Flanders","UTC","BEPR750","60R750","60R750 - ZELZATE","SPO-BEPR750_00609_100","Benzo(a)anthracene","3.82292","51.19606","6.0","m","suburban","industrial","01/01/1995 00:00:00","","SAM-BEPR750_00609","2.0","m","","","","","","","Other","","","0","","","","","Zelzate","","","","","","","","","","SPP-BEPR750_00609_3","01/01/2000 00:00:00","","automatic","other","","","","","","","","ref","","1","ng.m-3","","http://report.irceline.be/qa/","1","day","4","day","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Brussels","Brussels","UTC","BETB006","41B006","41B006 - PARL.EUROPE","SPO-BETB006_00464_100","m,p-C6H4(CH3)2","4.37439","50.83864","67.0","m","urban","background","01/11/2002 00:00:00","","SAM-BETB006_00464","3.0","m","","","","","","","Other","","","0","","","","","Brussel=Bruxelles","","","","","","","","","","SPP-BETB006_00464_1","01/11/2002 00:00:00","","automatic","other","","","","","","","","ref","","1","ug.m-3","","http://report.irceline.be/qa/","1","hour","1","hour","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Brussels","Brussels","UTC","BETB006","41B006","41B006 - PARL.EUROPE","SPO-BETB006_00482_100","o-C6H4-(CH3)2","4.37439","50.83864","67.0","m","urban","background","01/11/2002 00:00:00","","SAM-BETB006_00482","3.0","m","","","","","","","Other","","","0","","","","","Brussel=Bruxelles","","","","","","","","","","SPP-BETB006_00482_1","01/11/2002 00:00:00","","automatic","other","","","","","","","","ref","","1","ug.m-3","","http://report.irceline.be/qa/","1","hour","1","hour","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Brussels","Brussels","UTC","BETB008","41B008","41B008 - Brussel (Beliardstraat)","SPO-BETB008_00001_100","SO2","4.37585","50.84087","57.0","m","urban","traffic","19/10/2012 00:00:00","17/05/2017 00:00:00","SAM-BETB008_00001","3.0","m","10.0","m","5.0","m","","","Other","","","0","","","","","BRUSSEL","","","","","","","","","","SPP-BETB008_00001_1","19/10/2012 00:00:00","","automatic","UV-FL","","","","","","","","ref","","3","ug.m-3","","http://report.irceline.be/qa/","1","hour","1","hour","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Brussels","Brussels","UTC","BETB008","41B008","41B008 - Brussel (Beliardstraat)","SPO-BETB008_00008_100","NO2","4.37585","50.84087","57.0","m","urban","traffic","19/10/2012 00:00:00","","SAM-BETB008_00008","3.0","m","10.0","m","5.0","m","","","Other","","","0","","","","","BRUSSEL","","","","","","","","","","SPP-BETB008_00008_1","19/10/2012 00:00:00","","automatic","chemi","","","","","","","","ref","","3","ug.m-3","","http://report.irceline.be/qa/","1","hour","1","hour","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
