Air Pollutant,Air Quality Station Name,Air Quality Station Type,Air Quality Network Name,Longitude,Latitude,HubName,HubDist,Pollutant_Group,In_Particulates
SO2,2FR002 - IXELLES,traffic,Brussels,4.38472,50.82513,w28669727,5236.486202,Sulphur compounds,FALSE
SO2,21LAEK - IXEL,background,Brussels,4.32517,50.89593,w1059485777,1885.328676,Sulphur compounds,FALSE
SO2,21MEU1 - MEUDON,background,Brussels,4.39272,50.8951,w30342976,323.3764196,Sulphur compounds,FALSE
SO2,21POLI - BRUXELLES,background,Brussels,4.35044,50.84643,w39018402,1601.788406,Sulphur compounds,FALSE
SO2,21R002 - IXELLES,traffic,Brussels,4.38472,50.82513,w28669727,5236.486202,Sulphur compounds,FALSE
SO2,21R012 - IRM-KMI,background,Brussels,4.35854,50.79663,w39018402,7168.009216,Sulphur compounds,FALSE
NO2,41B011 - BERCHEM S.A,background,Brussels,4.28871,50.85781,w975314733,4135.75472,Nitrogen compounds,FALSE
NO,41B011 - BERCHEM S.A,background,Brussels,4.28871,50.85781,w975314733,4135.75472,Nitrogen compounds,FALSE
PM2.5,41B011 - BERCHEM S.A,background,Brussels,4.28871,50.85781,w975314733,4135.75472,Particulates,TRUE
PM2.5,41B011 - BERCHEM S.A,background,Brussels,4.28871,50.85781,w975314733,4135.75472,Particulates,TRUE
NO2,41BUL1 - BRUXELLES,traffic,Brussels,4.34182,50.83791,w39018402,2608.623212,Nitrogen compounds,FALSE
NO,41BUL1 - BRUXELLES,traffic,Brussels,4.34182,50.83791,w39018402,2608.623212,Nitrogen compounds,FALSE
NO2,41CHA1 - GANSHOREN,traffic,Brussels,4.30616,50.87037,w975314733,2522.656515,Nitrogen compounds,FALSE
Pb in TSP,01AND2 - ANDERLECHT,background,Brussels,4.31597,50.82343,w39018402,4790.58683,Metals,FALSE
Pb in TSP,01AND3 - ANDERLECHT,background,Brussels,4.31155,50.81998,w39018402,5278.923435,Metals,FALSE
Cd in TSP,01AND3 - ANDERLECHT,background,Brussels,4.31155,50.81998,w39018402,5278.923435,Metals,FALSE
Ni in TSP,01AND3 - ANDERLECHT,background,Brussels,4.31155,50.81998,w39018402,5278.923435,Metals,FALSE
As in TSP,01AND3 - ANDERLECHT,background,Brussels,4.31155,50.81998,w39018402,5278.923435,Metals,FALSE
Pb in TSP,01AND4 - ANDERLECHT,background,Brussels,4.30744,50.82731,w39018402,4770.854958,Metals,FALSE
Pb in TSP,01BLD1 - BELLIARD,background,Brussels,4.37273,50.84158,w28669727,3226.285901,Metals,FALSE
Pb in TSP,01BLD1 - BELLIARD,background,Brussels,4.37273,50.84158,w28669727,3226.285901,Metals,FALSE
CO,41CHA1 - GANSHOREN,traffic,Brussels,4.30616,50.87037,w975314733,2522.656515,Others,FALSE
NO,41CHA1 - GANSHOREN,traffic,Brussels,4.30616,50.87037,w975314733,2522.656515,Nitrogen compounds,FALSE
SO2,47E013 - Vorst,industrial,Brussels,4.32838,50.8117,w39018402,5667.303661,Sulphur compounds,FALSE
NO2,47E013 - Vorst,industrial,Brussels,4.32838,50.8117,w39018402,5667.303661,Nitrogen compounds,FALSE
NO,47E013 - Vorst,industrial,Brussels,4.32838,50.8117,w39018402,5667.303661,Nitrogen compounds,FALSE
NO2,41LEB2 - BRUXELLES,traffic,Brussels,4.32891,50.86371,w975314733,1457.982857,Nitrogen compounds,FALSE
CO,41LEB2 - BRUXELLES,traffic,Brussels,4.32891,50.86371,w975314733,1457.982857,Others,FALSE
NO,41LEB2 - BRUXELLES,traffic,Brussels,4.32891,50.86371,w975314733,1457.982857,Nitrogen compounds,FALSE
Pb in TSP,0IHE02 - IHE,background,Brussels,4.38266,50.8245,w28669727,5250.937841,Metals,FALSE
Pb in TSP,0IHE02 - IHE,background,Brussels,4.38266,50.8245,w28669727,5250.937841,Metals,FALSE
Pb in TSP,0IHE02 - IHE,background,Brussels,4.38266,50.8245,w28669727,5250.937841,Metals,FALSE
Pb in TSP,0IHE02 - IHE,background,Brussels,4.38266,50.8245,w28669727,5250.937841,Metals,FALSE
Pb in TSP,0IHE02 - IHE,background,Brussels,4.38266,50.8245,w28669727,5250.937841,Metals,FALSE
Pb in TSP,0IHE03 - COURONNE,background,Brussels,4.38436,50.82531,w28669727,5208.58244,Metals,FALSE
Pb in TSP,0IHE03 - COURONNE,background,Brussels,4.38436,50.82531,w28669727,5208.58244,Metals,FALSE
Pb in TSP,01MEU1 - MEUDON,background,Brussels,4.39272,50.8951,w30342976,323.3764196,Metals,FALSE
Pb in TSP,01MEU1 - MEUDON,background,Brussels,4.39272,50.8951,w30342976,323.3764196,Metals,FALSE
Cd in TSP,01MEU1 - MEUDON,background,Brussels,4.39272,50.8951,w30342976,323.3764196,Metals,FALSE
Cd in TSP,01MEU1 - MEUDON,background,Brussels,4.39272,50.8951,w30342976,323.3764196,Metals,FALSE
Ni in TSP,01MEU1 - MEUDON,background,Brussels,4.39272,50.8951,w30342976,323.3764196,Metals,FALSE
Ni in TSP,01MEU1 - MEUDON,background,Brussels,4.39272,50.8951,w30342976,323.3764196,Metals,FALSE
As in TSP,01MEU1 - MEUDON,background,Brussels,4.39272,50.8951,w30342976,323.3764196,Metals,FALSE
As in TSP,01MEU1 - MEUDON,background,Brussels,4.39272,50.8951,w30342976,323.3764196,Metals,FALSE
Pb in TSP,01R012 - IRM-KMI,background,Brussels,4.35854,50.79663,w39018402,7168.009216,Metals,FALSE
NO2,41LEC1 - BRUXELLES,traffic,Brussels,4.33216,50.8627,w975314733,1430.042311,Nitrogen compounds,FALSE
CO,41LEC1 - BRUXELLES,traffic,Brussels,4.33216,50.8627,w975314733,1430.042311,Others,FALSE
NO,41LEC1 - BRUXELLES,traffic,Brussels,4.33216,50.8627,w975314733,1430.042311,Nitrogen compounds,FALSE
SO2,41MEU1 - MEUDON,background,Brussels,4.39572,50.895,w30342976,454.1099206,Sulphur compounds,FALSE
PM10,41MEU1 - MEUDON,background,Brussels,4.39572,50.895,w30342976,454.1099206,Particulates,TRUE
PM10,41MEU1 - MEUDON,background,Brussels,4.39572,50.895,w30342976,454.1099206,Particulates,TRUE
O3,41MEU1 - MEUDON,background,Brussels,4.39572,50.895,w30342976,454.1099206,Others,FALSE
NO2,41MEU1 - MEUDON,background,Brussels,4.39572,50.895,w30342976,454.1099206,Nitrogen compounds,FALSE
NO,41MEU1 - MEUDON,background,Brussels,4.39572,50.895,w30342976,454.1099206,Nitrogen compounds,FALSE
Hg0,41MEU1 - MEUDON,background,Brussels,4.39572,50.895,w30342976,454.1099206,Metals,FALSE
PM2.5,41MEU1 - MEUDON,background,Brussels,4.39572,50.895,w30342976,454.1099206,Particulates,TRUE
PM2.5,41MEU1 - MEUDON,background,Brussels,4.39572,50.895,w30342976,454.1099206,Particulates,TRUE
SO2,41N043 - HAREN,industrial,Brussels,4.38298,50.88369,w30343027,349.5435479,Sulphur compounds,FALSE
SO2,41N043 - HAREN,industrial,Brussels,4.38298,50.88369,w30343027,349.5435479,Sulphur compounds,FALSE
PM10,41N043 - HAREN,industrial,Brussels,4.38298,50.88369,w30343027,349.5435479,Particulates,TRUE
PM10,41N043 - HAREN,industrial,Brussels,4.38298,50.88369,w30343027,349.5435479,Particulates,TRUE
Pb in TSP,01R012 - IRM-KMI,background,Brussels,4.35854,50.79663,w39018402,7168.009216,Metals,FALSE
Benzo(e)pyrene,61BLD1 - BELLIARD,background,Brussels,4.37273,50.84158,w28669727,3226.285901,Volatile organic compounds,FALSE
Benzo(a)anthracene,61BLD1 - BELLIARD,background,Brussels,4.37273,50.84158,w28669727,3226.285901,Volatile organic compounds,FALSE
Benzo(b)fluoranthene,61BLD1 - BELLIARD,background,Brussels,4.37273,50.84158,w28669727,3226.285901,Volatile organic compounds,FALSE
Benzo(ghi)perylene,61BLD1 - BELLIARD,background,Brussels,4.37273,50.84158,w28669727,3226.285901,Volatile organic compounds,FALSE
Benzo(k)fluoranthene,61BLD1 - BELLIARD,background,Brussels,4.37273,50.84158,w28669727,3226.285901,Volatile organic compounds,FALSE
Fluoranthene,61BLD1 - BELLIARD,background,Brussels,4.37273,50.84158,w28669727,3226.285901,Volatile organic compounds,FALSE
"Indeno-(1,2,3-cd)pyrene",61BLD1 - BELLIARD,background,Brussels,4.37273,50.84158,w28669727,3226.285901,Volatile organic compounds,FALSE
Pyrene,61BLD1 - BELLIARD,background,Brussels,4.37273,50.84158,w28669727,3226.285901,Volatile organic compounds,FALSE
Dibenzo(ah)anthracene,61BLD1 - BELLIARD,background,Brussels,4.37273,50.84158,w28669727,3226.285901,Volatile organic compounds,FALSE
BaP,61BLD1 - BELLIARD,background,Brussels,4.37273,50.84158,w28669727,3226.285901,Others,FALSE
Benzo(e)pyrene,61IHE2 - IHE,background,Brussels,4.38266,50.8245,w28669727,5250.937841,Volatile organic compounds,FALSE
